Date,Open,High,Low,Close,Volume,Adj Close
2015-06-10,27.82,28.47,27.68,28.23,10538800,26.7248
2015-06-09,27.64,27.85,27.17,27.28,10055300,25.8254
2015-06-08,27.71,27.97,27.50,27.58,5684500,26.1094
2015-06-05,28.00,28.10,27.54,27.54,8476800,26.0716
2015-06-04,28.20,28.20,28.20,28.20,000,26.6964
2015-06-03,28.79,28.79,28.06,28.20,11194700,26.6964
2015-06-02,28.37,28.98,28.31,28.86,9098400,27.3212
2015-06-01,28.34,28.54,28.00,28.16,6455600,26.6405
2015-05-29,28.98,28.98,28.19,28.21,14366700,26.6878
2015-05-28,28.98,29.06,28.43,28.99,8708500,27.4258
2015-05-27,28.56,29.34,28.15,29.17,15027500,27.596
2015-05-26,29.12,29.17,28.38,28.40,13206500,26.8676
2015-05-25,29.09,29.58,28.93,29.27,4227300,27.6907
2015-05-22,29.52,29.60,28.90,29.10,18365600,27.5298
2015-05-21,29.98,30.07,29.32,29.73,13328700,28.1258
2015-05-20,30.61,30.83,30.13,30.25,12239600,28.6178
2015-05-19,31.46,31.54,30.52,31.03,5825300,29.3557
2015-05-18,32.30,32.35,31.10,31.49,9029700,29.7909
2015-05-15,31.62,32.28,31.42,32.28,5565200,30.5382
2015-05-14,31.00,31.67,30.76,31.62,5208600,29.9139
2015-05-13,31.25,31.43,30.79,30.87,6025600,29.2043
2015-05-12,31.37,31.63,31.25,31.33,3924300,29.6395
2015-05-11,31.90,31.94,31.36,31.65,6049600,29.9422
2015-05-08,32.07,32.12,31.23,31.75,5196700,30.0368
2015-05-07,31.35,31.69,31.16,31.66,4905200,29.9517
2015-05-06,32.37,32.65,31.33,31.57,8609300,29.8665
2015-05-05,32.02,32.73,31.70,32.39,9066700,30.6423
2015-05-04,32.38,32.81,32.22,32.31,6910200,30.5503
2015-05-01,32.16,32.16,32.16,32.16,000,30.4085
2015-04-30,31.53,32.19,31.46,32.16,8741900,30.4085
2015-04-29,32.31,32.53,31.53,31.68,12655300,29.9546
2015-04-28,32.03,32.55,31.76,32.45,8180900,30.6827
2015-04-27,32.17,32.75,31.80,31.96,10785700,30.2194
2015-04-24,31.95,32.75,31.68,32.44,11660600,30.6732
2015-04-23,30.83,31.99,30.53,31.68,8990600,29.9546
2015-04-22,30.58,31.30,30.37,31.00,7140700,29.3116
2015-04-20,30.90,31.10,30.35,30.59,5391800,28.924
2015-04-17,31.26,31.41,30.74,30.80,6510400,29.1225
2015-04-16,31.67,31.67,31.26,31.61,7409200,29.8884
2015-04-15,31.39,31.69,31.10,31.69,9620900,29.9641
2015-04-14,31.34,31.34,30.62,31.27,8455000,29.5669
2015-04-13,30.85,31.45,30.79,31.01,7981700,29.3211
2015-04-10,30.51,31.15,30.31,31.08,6786800,29.3873
2015-04-09,30.75,30.97,30.25,30.75,10061800,29.0753
2015-04-08,31.42,31.67,31.19,31.31,8685600,29.6048
2015-04-07,31.15,31.40,30.91,31.24,5435600,29.5386
2015-04-06,31.20,31.48,30.96,31.13,5620500,29.4346
2015-04-02,30.84,31.32,30.72,30.96,7718800,29.2738
2015-04-01,30.06,31.02,29.88,30.61,8907100,28.9249
2015-03-31,28.83,29.78,28.74,29.67,10805900,28.0367
2015-03-30,28.75,29.21,28.45,29.20,9488200,27.5926
2015-03-27,29.43,29.43,28.20,28.60,9607800,27.0256
2015-03-26,30.0917,30.2333,29.325,29.4167,10764700,23.1644
2015-03-25,30.5833,30.8083,30.0083,30.35,12696800,23.8994
2015-03-24,36.80,37.17,35.97,36.40,5915200,28.6635
2015-03-23,36.70,37.25,36.47,36.75,5365400,28.9391
2015-03-20,36.58,37.25,36.46,36.84,12060000,29.01
2015-03-19,36.63,36.69,35.83,36.28,6839200,28.569
2015-03-18,35.49,36.90,34.82,36.90,10470300,29.0572
2015-03-17,34.16,35.51,33.83,35.50,12525000,27.9548
2015-03-16,34.00,34.24,33.60,34.16,8944400,26.8996
2015-03-13,33.39,33.88,33.17,33.66,11497400,26.5059
2015-03-12,35.20,35.26,34.05,34.08,11881600,26.8366
2015-03-11,33.92,34.75,33.86,34.70,8072100,27.3249
2015-03-10,34.34,34.95,33.69,33.69,13146200,26.5295
2015-03-09,35.50,35.62,34.52,34.85,8839200,27.443
2015-03-06,36.22,36.40,35.53,35.88,9189200,28.254
2015-03-05,36.45,36.74,35.89,36.32,7824300,28.6005
2015-03-04,36.58,36.86,36.28,36.38,11167200,28.6478
2015-03-03,37.06,37.22,36.72,37.15,9387100,29.2541
2015-03-02,37.51,38.13,36.78,37.09,11266400,29.1873
2015-02-27,38.00,38.96,37.57,37.60,14225600,29.5886
2015-02-26,38.00,38.10,37.55,38.07,5953500,29.9585
2015-02-25,37.32,37.99,37.12,37.99,9599700,29.8955
2015-02-24,37.50,37.83,37.03,37.78,8226200,29.7302
2015-02-23,36.55,37.48,36.54,37.37,5681600,29.4077
2015-02-20,36.98,37.20,36.52,37.01,3634600,29.1244
2015-02-19,36.92,37.36,36.61,36.92,5601600,29.0536
2015-02-18,37.27,37.50,36.76,37.00,9280800,29.1164
2015-02-13,35.96,36.66,35.64,36.60,8723100,28.8017
2015-02-12,34.90,35.65,34.64,35.65,8178600,28.0541
2015-02-11,35.16,35.58,34.02,34.29,11122900,26.9839
2015-02-10,35.90,36.30,35.24,35.24,7336500,27.7315
2015-02-09,35.55,36.15,35.46,36.15,9642300,28.2989
2015-02-06,35.55,35.81,34.90,35.78,8506000,28.0093
2015-02-05,35.78,36.20,35.60,35.63,8957800,27.8918
2015-02-04,35.32,36.53,34.94,36.21,12684000,28.3458
2015-02-03,35.00,35.39,34.52,35.32,10747600,27.6491
2015-02-02,34.15,34.28,33.14,34.08,10940100,26.659
2015-01-30,34.30,34.39,33.48,33.73,12812600,26.3852
2015-01-29,35.60,35.93,34.22,34.77,11403100,27.1988
2015-01-28,35.55,36.45,35.15,35.25,11550200,27.5742
2015-01-27,35.42,36.26,35.00,36.00,11057200,28.1609
2015-01-26,34.85,35.97,34.85,35.94,8151600,28.114
2015-01-23,35.70,36.35,34.78,35.37,7265800,27.6681
2015-01-22,35.70,36.35,35.42,35.68,9841800,27.9106
2015-01-21,34.97,35.54,34.30,35.29,10042300,27.6055
2015-01-20,35.20,35.25,34.34,34.45,6327000,26.9484
2015-01-19,35.10,35.65,34.30,34.56,7530400,27.0345
2015-01-16,35.15,35.41,34.70,35.30,15099600,27.6134
2015-01-15,35.39,36.31,34.96,34.96,11975000,27.3473
2015-01-14,34.50,35.85,34.35,35.32,8772300,27.629
2015-01-13,35.10,35.93,34.95,34.95,9758700,27.3396
2015-01-12,35.20,35.63,34.60,34.84,7579500,27.2535
2015-01-09,36.72,36.93,35.28,35.47,7645600,27.7463
2015-01-08,37.00,37.41,36.30,37.08,6995500,29.0057
2015-01-07,35.94,37.30,35.62,36.89,12740400,28.8571
2015-01-06,34.41,35.48,34.14,35.48,11955100,27.7542
2015-01-05,33.71,34.77,33.31,34.35,9277900,26.8702
2015-01-02,34.75,35.49,34.13,34.30,9362200,26.8116
